Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,ENCOUNTERS,PROCEDURES
e7aa64d6-3ae9-3423-8df9-309d60365537,74ab949d-17ac-3309-83a0-13b4405c66aa,Gabriel934 Reilly981,F,GENERAL PRACTICE,881 Main Street,Fitchburg,MA,01420,42.586487,-71.80521,792,0
024b37a5-7f5d-369d-86d0-1e2a4824f82e,588f6ce6-b8db-3588-8189-29db2680a313,Tiffaney302 Brakus656,F,GENERAL PRACTICE,461 WALNUT AVE,JAMAICA PLAIN,MA,021302331,42.311587599999996,-71.09800136347226,73,0
cdc0192a-d31f-316a-8eef-b0cd6142cf2d,faffaf6a-ee1a-3673-b0b0-421a9c249244,Jaunita130 Armstrong51,F,GENERAL PRACTICE,66 WASHINGTON ST,STOUGHTON,MA,020722571,42.14415820061801,-71.10378319512402,354,0
a097874d-ec3b-337d-b4a1-fc626a3550f9,17a4bae5-8b64-34d7-8144-b428be027bd0,Olympia319 Ward668,F,GENERAL PRACTICE,512 MAIN STREET  SUITE 211,SHREWSBURY,MA,015456406,42.295109499999995,-71.71808471110307,47,0
a7d2d9b3-dc95-3fd1-8ca5-9b73a7a9e2c9,4112b8b1-59df-3255-a7ca-f42ee0a4cb2e,Ambrose149 Feeney44,M,GENERAL PRACTICE,37 ROUTE 6A,SANDWICH,MA,025631801,41.766329400000004,-70.5147600346998,5,0
550e8ada-8981-3ff5-ae4a-c4efac8ed9f6,e09d4c49-c2ef-3b0f-9a46-3719d9219306,Ronald408 Emard19,F,GENERAL PRACTICE,60 HOSPITAL RD,LEOMINSTER,MA,014533290,42.54031915,-71.76312990486304,219,0
6ef57a48-5944-3b2a-997b-8a7026c1ddca,e76b5eb0-0c9d-3593-b5da-3c0e9a97bb96,Felipe97 Delao225,M,GENERAL PRACTICE,1400 VFW Parkway,West Roxbury,MA,02132,42.2793,-71.1657,148,0
5504da95-610e-3ed5-acba-5e54f34522f7,c241b977-4131-32e4-9957-e0a00b2a1e5f,Brittanie254 Krajcik437,F,GENERAL PRACTICE,94 MAIN STREET,HYANNIS,MA,026013146,41.6562802,-70.27448000204822,11,0
ba48222f-200d-33a2-b0be-85f3521787d0,77645e49-3f69-3d1d-bb93-dc65210e2fac,Vella930 Ankunding277,F,GENERAL PRACTICE,363 HIGHLAND AVE,FALL RIVER,MA,027205246,41.7093779,-71.1460783680883,7,0
b261f012-1d5c-3146-b0ba-fbdfee862495,6fafb5d4-ecca-37ab-8d24-53036a8cbf1e,Shelley12 Nikolaus26,F,GENERAL PRACTICE,320 WEST CENTER STREET  2ND FLOOR,WEST BRIDGEWATER,MA,02379,42.016080599999995,-71.02601589317304,21,0
acb5b90b-90fb-3359-9cd3-884b27bd4b2b,aa682136-a4df-3942-9f50-e6fcee6c0b73,Precious140 Runolfsson901,F,GENERAL PRACTICE,501 CORDWAINER DRIVE,NORWELL,MA,020611630,42.1647071,-70.88149077838713,2,0
d0e316d2-bf16-3b92-a44a-7ed4c31b7c75,5becf220-2978-3f33-bd38-9326947f85de,Thad495 Leannon79,M,GENERAL PRACTICE,240 LYNNFIELD STREET,PEABODY,MA,019605055,42.5141736,-70.97106354209534,17,0
552321ed-e545-3c54-9a96-9255020fc18b,ae88fd02-4911-3625-9e97-85b626ed3b0b,Cherrie404 Farrell962,F,GENERAL PRACTICE,476 VARNUM AVE,LOWELL,MA,018542122,42.6443795,-71.34721987550876,3,0
5492df32-c005-3246-b6c9-86a96ea9636c,3cd7d7ea-0053-36bf-b8a6-c5a2bd4f588a,Nieves278 Johnston597,F,GENERAL PRACTICE,180 LOW ST,NEWBURYPORT,MA,019503519,42.815683050000004,-70.89666045994463,4,0
7065a85f-86fd-3424-86c9-5305ec66f2f2,2936ca90-6594-357d-be14-53fe0ab84dd1,Daniel959 Ankunding277,M,GENERAL PRACTICE,11 TREMONT ST,KINGSTON,MA,023641231,42.00823215,-70.72984043580247,41,0
e6b5ca1c-c9a0-3f4a-a13b-6a1e027630a4,42d4b607-f14d-370a-818e-40965685776c,Arlen68 Hettinger594,M,GENERAL PRACTICE,3 WASHINGTON ST STE 220,NORTH EASTON,MA,023561034,42.0667665,-71.1036592,495,0
3f2bba5a-5553-3153-946a-dcfd75e2c51c,ab701a70-a658-340e-8f69-ee196a7d40c6,Bud153 Parisian75,M,GENERAL PRACTICE,484 RTE 134,WORCESTER,MA,016071728,42.2625621,-71.8018877,127,0
db188b67-f621-3596-b62b-ba5a0b56835a,11ba6a26-59b4-3728-a268-6dc9929962b4,Archie818 McCullough561,M,GENERAL PRACTICE,200 GOVERNORS AVENUE,MEDFORD,MA,021551644,42.42711615,-71.1121606632448,14,0
29559407-0a63-3747-8157-f5afc91370c5,f736c0f5-6d39-3e26-8ac1-39e1fc60dfbe,Huong243 Jakubowski832,F,GENERAL PRACTICE,11 QUARRY HILL ROAD,LEE,MA,012389645,42.2816564,-73.25307843923315,33,0
ced568fd-f0a3-3458-ae45-349d1b1cfc4e,af2d050e-91a7-3acb-8b27-0bf6a259645e,Cecila397 Bernhard322,F,GENERAL PRACTICE,57 CITY HALL AVE,GARDNER,MA,014402614,42.5760669,-71.9934081,54,0
f08cf175-b3b2-3254-aa0c-6858c86892fe,71472d9b-aa5c-3b49-a5c3-d0eee8859015,Tyree261 Kutch271,M,GENERAL PRACTICE,118 WATERHOUSE RD STE C,BOURNE,MA,025328305,41.7281115,-70.5861571324252,128,0
f4b96ad1-9731-3be0-93f7-78b29d7758b8,8a2e2731-3240-39d1-b4f0-cad14200937d,Randa356 Ritchie586,F,GENERAL PRACTICE,88 WASHINGTON ST,TAUNTON,MA,027802465,41.9062805,-71.09518121351795,62,0
89b0ec13-d7d1-36dc-aec2-1a0e6a348f75,dcbd0460-9bcf-3e7d-a923-1d22bcc5a9bd,Troy560 Dooley940,F,GENERAL PRACTICE,279 DALTON AVENUE  SUITE B,PITTSFIELD,MA,012013500,42.4606344,-73.22185917597403,15,0
9617b4b0-6762-3b02-8ccd-4ad038bd3e36,88e28a1c-aad9-36d0-832b-b579ecb95c3d,Cherish740 Toy286,F,GENERAL PRACTICE,14 MANNING AVENUE,LEOMINSTER,MA,014535768,42.5253035,-71.7584413,68,0
6e828505-43ed-3961-80f1-dbd210bda1aa,bd6cec50-10de-3696-940b-4022618764ab,Lynn917 Graham902,F,GENERAL PRACTICE,40 MARTIN ST,MELROSE,MA,021763607,42.457050550000005,-71.07494593157304,3,0
72089e72-5a45-3485-9574-dc4392458aae,f6dac745-644b-3837-aa26-de3c910f6b17,Dannie881 Reichert620,M,GENERAL PRACTICE,10 EMORY ST,ATTLEBORO,MA,027032335,41.9447388,-71.27972821642685,17,0
